Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status
0.05122100129907806,0,0.6366252590316017,-0.6198636336886911,-0.024407315687708007,0.026811990802744004,-0.6074162768798291,-0.3780980243482127,3,1,1
-1.0501179344831468,0,0.7532639821136435,-0.6198636336886911,-0.9896498453850764,-1.122747276652497,-0.5895969300812441,-1.1331508916582345,2,1,2
0.32655573524463427,0,0.5199865359495599,-0.6198636336886911,-0.4810632706309102,-0.16478122043979615,2.5466081064697126,0.028468904203337517,3,1,1
0.32655573524463427,0,0.6366252590316017,-0.6198636336886911,-0.06538009829085395,-0.060275832489319704,-0.643054970476999,0.6673597919272022,1,1,1
-0.6371158335648125,0,0.6366252590316017,-0.6198636336886911,-0.4953561017715425,-0.19961634975662165,-0.6341452970777065,0.5511978123410449,1,1,1
0.46422310221741236,0,0.6366252590316017,0.03756749295082978,-0.16614455783231172,0.21840520204528416,-0.3668550950989318,0.26079286337565194,3,1,1
-0.49944846659203435,0,0.6366252590316017,-0.6198636336886911,-0.5032171588988903,-0.5305500782664637,1.8872922749220682,-0.3200170345551341,3,1,1
0.7395578361629686,0,0.5199865359495599,0.6949986195903507,1.1059174136839636,0.8976902237233811,0.631028325621827,1.132007710271831,3,1,1
-0.08644636567370004,0,0.6366252590316017,-0.6198636336886911,2.215517537901718,1.7337333273271927,-0.6519646438762915,1.1900887000649096,3,1,1
-0.08644636567370004,0,0.6366252590316017,0.03756749295082978,0.010133692902153397,0.23582276670369692,-0.6341452970777065,0.08654989399641612,3,1,1
-0.22411373264647813,0,0.6366252590316017,-0.6198636336886911,0.34434772774060546,0.4448335426046498,-0.5895969300812441,-0.6685029733136058,3,1,1
0.18888836827185618,0,0.6366252590316017,-0.6198636336886911,-0.5322792488848426,-0.26928660839027263,-0.5806872566819516,-0.3780980243482127,3,1,2
2.391566239836306,0,0.6366252590316017,1.3524297462298716,2.5411558740557907,2.7091169481983064,-0.17084228031449708,0.49311682254796635,3,1,1
-0.49944846659203435,0,0.6366252590316017,0.03756749295082978,-0.3281299774261445,-0.7395608541674167,3.651407607981981,-0.9008269324859202,3,1,1
0.18888836827185618,0,0.5199865359495599,-0.6198636336886911,2.6233396531144266,1.9601616678865583,0.684486366017582,0.37695484296180914,2,1,1
-0.6371158335648125,0,0.5199865359495599,0.03756749295082978,0.48298818980473884,0.28807546067893514,1.0052346083921115,0.14463088378949474,3,1,1
